city,d,kappa,generator,K,D,Kprime,L1,h1,Bmax,Btheory
Amsterdam,7889568436,1,ipsp_rho4,3,1,3,487.17536140157875,52,709.0763635643657,9458.805782425261
Amsterdam,7889568436,1,ipsp_rho4,5,1,5,487.17536140157875,52,829.1592683258057,177964.89251880418
Amsterdam,7889568436,1,ipsp_rho4,15,1,15,487.17536140157875,52,1329.4803724994695,326196152257.7976
Amsterdam,7889568436,1,ipsp_rho125,3,1,3,487.17536140157875,52,572.7468561767778,923.711502189967
Amsterdam,7889568436,1,ipsp_rho125,5,1,5,487.17536140157875,52,746.7433272040529,1697.2054721718232
Amsterdam,7889568436,1,ipsp_rho125,15,1,15,487.17536140157875,52,867.5229895975268,27629.888822993482
Amsterdam,1359387752,1,ipsp_rho4,3,1,3,498.2308506888196,53,724.6457890707181,9667.693611021114
Amsterdam,1359387752,1,ipsp_rho4,5,1,5,498.2308506888196,53,946.3229188707703,181819.09777633782
Amsterdam,1359387752,1,ipsp_rho4,15,1,15,498.2308506888196,53,1422.9812597451726,332921933949.9212
Amsterdam,1359387752,1,ipsp_rho125,3,1,3,498.2308506888196,53,582.8208674187446,944.1107042012807
Amsterdam,1359387752,1,ipsp_rho125,5,1,5,498.2308506888196,53,790.2072048356404,1733.962037814501
Amsterdam,1359387752,1,ipsp_rho125,15,1,15,498.2308506888196,53,997.1614733925063,28199.58469192033
Amsterdam,1359387759,1,ipsp_rho4,3,1,3,510.6778311847654,62,867.5250672453168,10154.845298956247
Amsterdam,1359387759,1,ipsp_rho4,5,1,5,510.6778311847654,62,874.9871717071447,194221.52478329994
Amsterdam,1359387759,1,ipsp_rho4,15,1,15,510.6778311847654,62,1499.1151374707556,370086012291.1735
Amsterdam,1359387759,1,ipsp_rho125,3,1,3,510.6778311847654,62,616.1977384768265,991.6841112261959
Amsterdam,1359387759,1,ipsp_rho125,5,1,5,510.6778311847654,62,731.5973553022783,1852.2407987909312
Amsterdam,1359387759,1,ipsp_rho125,15,1,15,510.6778311847654,62,972.9161726948364,31347.504572858394
Amsterdam,1359387759,1,yen,3,1,3,510.6778311847654,62,511.320025485223,511.320025485223
Amsterdam,1359387759,1,eps10,3,1,3,510.6778311847654,62,511.320025485223,561.745614303242
Amsterdam,1359387759,1,eps25,3,1,3,510.6778311847654,62,511.320025485223,638.3472889809568
Amsterdam,1359387759,1,yen,5,1,5,510.6778311847654,62,511.98078441901475,511.98078441901475
Amsterdam,1359387759,1,eps10,5,1,5,510.6778311847654,62,511.98078441901475,561.745614303242
Amsterdam,1359387759,1,eps25,5,1,5,510.6778311847654,62,511.98078441901475,638.3472889809568
Amsterdam,1359387759,1,yen,15,1,15,510.6778311847654,62,515.3792439230373,515.3792439230373
Amsterdam,1359387759,1,eps10,15,1,15,510.6778311847654,62,515.3792439230373,561.745614303242
Amsterdam,1359387759,1,eps25,15,1,15,510.6778311847654,62,515.3792439230373,638.3472889809568
Amsterdam,46547509,1,ipsp_rho4,3,1,3,565.363892170383,70,868.9529131923401,11285.822274726128
Amsterdam,46547509,1,ipsp_rho4,5,1,5,565.363892170383,70,868.9529131923401,216413.15639561805
Amsterdam,46547509,1,ipsp_rho4,15,1,15,565.363892170383,70,1353.465187897639,414830461080.6916
Amsterdam,46547509,1,ipsp_rho125,3,1,3,565.363892170383,70,650.5932565592669,1102.1310815162235
Amsterdam,46547509,1,ipsp_rho125,5,1,5,565.363892170383,70,792.3574560515553,2063.876689869099
Amsterdam,46547509,1,ipsp_rho125,15,1,15,565.363892170383,70,906.5065032172395,35137.506806003854
Amsterdam,1764586015,2,ipsp_rho4,3,2,3,145.92540573514992,21,447.95436840168543,3006.8064917623988
Amsterdam,1764586015,2,ipsp_rho4,5,2,5,145.92540573514992,21,520.1542025544072,58860.90386819838
Amsterdam,1764586015,2,ipsp_rho4,15,2,15,145.92540573514992,21,1271.4265369047098,118091576894.49998
Amsterdam,1764586015,2,ipsp_rho125,3,1,3,145.92540573514992,21,161.61220887416684,293.63344646117173
Amsterdam,1764586015,2,ipsp_rho125,5,1,5,145.92540573514992,21,161.61220887416684,561.3413225955809
Amsterdam,1764586015,2,ipsp_rho125,15,2,15,145.92540573514992,21,512.1695792185011,10002.745642285616
Amsterdam,46410367,2,ipsp_rho4,3,2,3,302.3259165199452,34,564.9470447194794,5925.214664319124
Amsterdam,46410367,2,ipsp_rho4,5,2,5,302.3259165199452,34,944.791174468389,112211.43462910598
Amsterdam,46410367,2,ipsp_rho4,15,2,15,302.3259165199452,34,1252.271465335747,208930272317.6494
Amsterdam,46410367,2,ipsp_rho125,3,1,3,302.3259165199452,34,319.39253307749607,578.6342445624144
Amsterdam,46410367,2,ipsp_rho125,5,2,5,302.3259165199452,34,564.9470447194794,1070.1316321287725
Amsterdam,46410367,2,ipsp_rho125,15,2,15,302.3259165199452,34,815.7599585101718,17697.082433186213
Amsterdam,46315539,2,ipsp_rho4,3,2,3,94.55647551802848,12,153.90815958618794,1896.9036082884556
Amsterdam,46315539,2,ipsp_rho4,5,2,5,94.55647551802848,12,605.5078673173973,36494.457732615294
Amsterdam,46315539,2,ipsp_rho4,15,2,15,94.55647551802848,12,1414.0915493018376,70479467231.43481
Amsterdam,46315539,2,ipsp_rho125,3,2,3,94.55647551802848,12,153.90815958618794,185.2444929969195
Amsterdam,46315539,2,ipsp_rho125,5,2,5,94.55647551802848,12,154.34249837937998,348.03827030768673
Amsterdam,46315539,2,ipsp_rho125,15,2,15,94.55647551802848,12,209.07628923370922,5969.843084995511
Amsterdam,830007801,3,ipsp_rho4,3,2,3,235.42942510928359,30,652.9862052126928,4726.870801748537
Amsterdam,830007801,3,ipsp_rho4,5,2,5,235.42942510928359,30,790.7337539759443,90989.93282797659
Amsterdam,830007801,3,ipsp_rho4,15,3,15,235.42942510928359,30,1104.8048264738068,175940496605.02838
Amsterdam,830007801,3,ipsp_rho125,3,1,3,235.42942510928359,30,270.3356237834448,461.60847673325554
Amsterdam,830007801,3,ipsp_rho125,5,1,5,235.42942510928359,30,277.52113768894776,867.7476198957119
Amsterdam,830007801,3,ipsp_rho125,15,3,15,235.42942510928359,30,791.5807519753737,14902.73973807424
Amsterdam,4729918422,1,ipsp_rho4,3,1,3,403.0580177137446,34,808.0645805197427,7536.928283419914
Amsterdam,4729918422,1,ipsp_rho4,5,1,5,403.0580177137446,34,808.0645805197427,137998.85253471864
