city,orientation,d,w,kappa
Amsterdam,AD,46514806,0.0027472527472527,1
Amsterdam,AD,46173879,0.0082417582417582,2
Amsterdam,AD,46188193,0.0027472527472527,2
Amsterdam,AD,46209547,0.0109890109890109,1
Amsterdam,AD,46226051,0.0054945054945054,2
Amsterdam,AD,46249918,0.0137362637362637,1
Amsterdam,AD,280989731,0.0686813186813186,4
Amsterdam,AD,46288279,0.1263736263736263,1
Amsterdam,AD,46309533,0.0851648351648351,2
Amsterdam,AD,46330371,0.1098901098901098,2
Amsterdam,AD,46348429,0.0851648351648351,3
Amsterdam,AD,46369747,0.0274725274725274,3
Amsterdam,AD,46389668,0.1758241758241758,2
Amsterdam,AD,940042043,0.0604395604395604,1
Amsterdam,AD,46429656,0.1318681318681318,2
Amsterdam,AD,1284046432,0.0137362637362637,2
Amsterdam,AD,7886095726,0.0054945054945054,1
Amsterdam,AD,7997216056,0.0054945054945054,1
Amsterdam,AD,46187415,0.0027472527472527,3
Amsterdam,AD,46232048,0.0137362637362637,1
Amsterdam,AD,6239303038,0.0054945054945054,1
Amsterdam,AD,46269468,0.0521978021978022,2
Amsterdam,AD,46289304,0.0494505494505494,2
Amsterdam,AD,46308006,0.0302197802197802,2
Amsterdam,AD,46328500,0.1483516483516483,1
Amsterdam,AD,2311089467,0.3818681318681318,3
Amsterdam,AD,46365716,0.2115384615384615,1
Amsterdam,AD,1624052875,0.0851648351648351,3
Amsterdam,AD,46410072,0.0851648351648351,2
Amsterdam,AD,5911917067,0.0164835164835164,1
Amsterdam,AD,46450028,0.0412087912087912,2
Amsterdam,AD,7944358639,0.0027472527472527,1
Amsterdam,AD,46173882,0.0027472527472527,2
Amsterdam,AD,46187268,0.0879120879120879,1
Amsterdam,AD,46203773,0.0357142857142857,2
Amsterdam,AD,7093136772,0.0906593406593406,1
Amsterdam,AD,3898433611,0.0384615384615384,2
Amsterdam,AD,46270689,0.0329670329670329,3
Amsterdam,AD,46287877,0.0109890109890109,3
Amsterdam,AD,46307544,0.0879120879120879,4
Amsterdam,AD,46322718,0.0192307692307692,2
Amsterdam,AD,46346468,0.0714285714285714,2
Amsterdam,AD,7042586056,0.5741758241758241,2
Amsterdam,AD,2296170442,0.1263736263736263,2
Amsterdam,AD,1891957960,0.1181318681318681,1
Amsterdam,AD,4625767495,0.0824175824175824,3
Amsterdam,AD,3306416557,0.1098901098901098,1
Amsterdam,AD,46472779,0.0054945054945054,1
Amsterdam,AD,7926245407,0.0109890109890109,2
Amsterdam,AD,7920375542,0.0082417582417582,2
Amsterdam,AD,8011011931,0.0027472527472527,1
Amsterdam,AD,46555663,0.0054945054945054,2
Amsterdam,AD,2304048772,0.0027472527472527,1
Amsterdam,AD,46185495,0.0247252747252747,1
Amsterdam,AD,46202403,0.260989010989011,1
Amsterdam,AD,8792828688,0.0467032967032967,1
Amsterdam,AD,46246148,0.0494505494505494,2
Amsterdam,AD,1350096134,0.0164835164835164,1
Amsterdam,AD,1976839543,0.1785714285714285,2
Amsterdam,AD,46305900,0.0439560439560439,4
Amsterdam,AD,6933008649,0.2664835164835165,3
Amsterdam,AD,46346389,0.217032967032967,2
Amsterdam,AD,4628978320,0.1538461538461538,1
Amsterdam,AD,46386984,0.2335164835164835,1
Amsterdam,AD,26585460,0.2115384615384615,2
Amsterdam,AD,46430099,0.1181318681318681,1
Amsterdam,AD,46451017,0.0796703296703296,2
Amsterdam,AD,46470161,0.0989010989010989,1
Amsterdam,AD,5705913800,0.0274725274725274,1
Amsterdam,AD,7916552429,0.0082417582417582,1
Amsterdam,AD,1724068248,0.0109890109890109,3
Amsterdam,AD,46173228,0.0027472527472527,2
Amsterdam,AD,46186730,0.0357142857142857,1
Amsterdam,AD,46203826,0.0082417582417582,2
Amsterdam,AD,401352873,0.0054945054945054,2
Amsterdam,AD,295085734,0.0027472527472527,1
Amsterdam,AD,10894631392,0.0027472527472527,1
Amsterdam,AD,617025696,0.0109890109890109,1
Amsterdam,AD,46307158,0.2252747252747252,1
Amsterdam,AD,8745641794,0.0604395604395604,1
