city,orientation,d,w,kappa
Amsterdam,AD,46173879,0.5890832426765378,2
Amsterdam,AD,46188193,0.8174038140017238,2
Amsterdam,AD,46209547,0.3738297044482824,2
Amsterdam,AD,46226051,0.7753702528059682,3
Amsterdam,AD,46249918,0.7753702528059682,1
Amsterdam,AD,280989731,0.8254918680214979,4
Amsterdam,AD,46288279,0.8254918680214979,1
Amsterdam,AD,46309533,0.9141761207164872,4
Amsterdam,AD,46330371,0.8325061630496802,4
Amsterdam,AD,46348429,0.8325061630496802,4
Amsterdam,AD,46369747,0.8639495871487862,4
Amsterdam,AD,46389668,0.8639495871487862,3
Amsterdam,AD,940042043,0.8004376768863924,1
Amsterdam,AD,46429656,0.8004376768863924,4
Amsterdam,AD,1284046432,0.7831240915555239,3
Amsterdam,AD,7886095726,0.47505100522011895,1
Amsterdam,AD,7997216056,0.4570133053373139,2
Amsterdam,AD,46187415,0.8174038140017238,5
Amsterdam,AD,46232048,0.9511825527063208,2
Amsterdam,AD,6239303038,0.9511825527063208,1
Amsterdam,AD,46269468,0.8739559734349178,3
Amsterdam,AD,46289304,0.8739559734349178,4
Amsterdam,AD,46308006,0.787548120938445,3
Amsterdam,AD,46328500,0.8709561536920973,1
Amsterdam,AD,2311089467,0.8709561536920973,4
Amsterdam,AD,46365716,0.9432108707644984,3
Amsterdam,AD,1624052875,0.9432108707644984,5
Amsterdam,AD,46410072,0.8642638974004156,3
Amsterdam,AD,5911917067,0.8642638974004156,2
Amsterdam,AD,46450028,0.7008546481054037,2
Amsterdam,AD,7944358639,0.47505100522011895,3
Amsterdam,AD,46173882,0.6078289329342099,5
Amsterdam,AD,46187268,0.8096503088558318,3
Amsterdam,AD,46203773,0.8096503088558318,2
Amsterdam,AD,7093136772,0.9610462122250841,50
Amsterdam,AD,3898433611,0.9610462122250841,2
Amsterdam,AD,46270689,0.9429654496693821,3
Amsterdam,AD,46287877,0.9429654496693821,6
Amsterdam,AD,46307544,0.9058723363276486,6
Amsterdam,AD,46322718,0.8243274800346547,3
