node,w,kappa,cut_u,cut_v
42974537,1.0,1,42974537,42974534
42992388,23.0,2,-1,-1
42994617,1.0,4,-1,-1
42994627,1.0,3,-1,-1
42976642,1.0,4,-1,-1
42952287,1.0,3,-1,-1
42952269,2.0,3,-1,-1
42955099,1.0,2,-1,-1
42987676,1.0,16777218,-1,-1
42977950,1.0,3,-1,-1
43005466,1.0,2,-1,-1
11901605192,2.0,1,11901605192,11901605190
7861011340,1.0,1,7861011340,4604318489
7405090655,1.0,1,5490232499,12466133364
6291245380,1.0,1,6291245380,6291245374
6291245375,3.0,1,6291245375,6291245374
446783200,2.0,1,446783200,42971221
7256916422,4.0,1,7256916422,7641813269
446784264,5.0,1,446784264,446784263
10314016411,7.0,1,10314016411,446784263
4926401557,12.0,1,4926401557,4926401556
10754627934,2.0,1,10754627934,2537294608
42959959,2.0,3,-1,-1
4202429323,2.0,2,-1,-1
42983661,1.0,1,42983661,42964195
9378109549,6.0,1,9378109549,43006990
43016237,1.0,1,43016237,42990208
42997484,1.0,2,-1,-1
42952305,1.0,4,-1,-1
42948300,1.0,4,-1,-1
43021223,3.0,3,-1,-1
42959777,3.0,2,-1,-1
42971073,1.0,1,42979382,42976273
43013499,1.0,1,43013499,42994324
42952843,3.0,1,42952843,42952867
6292949657,11.0,1,6292949657,6292949656
42996645,1.0,1,42996645,5102927453
7655402356,1.0,1,7655402356,446782746
446782746,1.0,1,446782746,12466133521
42973027,2.0,1,42973027,42978045
6603084849,1.0,1,6603084849,42971221
11820071530,2.0,0,-1,-1
42972737,26.0,3,-1,-1
43004507,1.0,3,-1,-1
42958499,1.0,3,-1,-1
43004496,1.0,1,43004496,42988992
9357212109,2.0,1,9357212109,9357212110
43010737,2.0,3,-1,-1
42976915,30.0,2,-1,-1
42961441,3.0,4,-1,-1
42973418,1.0,4,-1,-1
5516523976,1.0,1,5516523976,42972197
42997223,1.0,4,-1,-1
42971426,2.0,1,42971426,42971421
2895425205,21.0,2,-1,-1
11960946214,2.0,1,11960946214,11960946210
9939892599,1.0,2,-1,-1
43005394,9.0,2,-1,-1
42946660,1.0,1,42946660,42957888
446727480,5.0,2,-1,-1
447757696,4.0,1,447757696,447757676
446501080,1.0,1,446501080,446727480
12557438569,8.0,1,12557438569,12557438574
11332546562,12.0,3,-1,-1
446501054,1.0,2,-1,-1
446494650,2.0,2,-1,-1
5490227067,9.0,2,-1,-1
7641813282,2.0,1,7641813282,7641813269
7432065815,2.0,1,7432065815,7432065810
6444743705,1.0,1,6444743705,8886831801
4633522237,6.0,1,4633522237,43023914
5490478206,6.0,1,5490478206,42955972
42988907,1.0,3,-1,-1
7806226720,1.0,1,7806226720,42985987
42972335,2.0,3,-1,-1
42985004,6.0,2,-1,-1
43010176,1.0,2,-1,-1
42976622,1.0,4,-1,-1
2550778059,1.0,1,2550778059,43017895
42958553,1.0,3,-1,-1
43000503,1.0,3,-1,-1
43019540,2.0,1,43019540,43017067
2907420911,1.0,1,2907420911,2907420912
11044551598,1.0,1,11044551598,43009725
5490603175,4.0,1,5490603175,5490603181
5102927453,1.0,2,-1,-1
447758115,1.0,1,447758115,447758100
10213036739,7.0,0,-1,-1
42972959,1.0,2,-1,-1
42967127,1.0,1,42967127,42967120
446513647,2.0,4,-1,-1
2875068483,1.0,2,-1,-1
446725710,1.0,3,-1,-1
42977492,6.0,3,-1,-1
6444743724,9.0,1,6444743724,6444743723
8886831801,5.0,1,8886831801,6444743723
9814418092,4.0,1,9814418092,8886831801
4926401560,1.0,2,-1,-1
392228682,1.0,1,392228682,42955972
43012138,4.0,1,43012138,42955964
42971092,1.0,3,-1,-1
2551023500,1.0,3,-1,-1
6207043424,1.0,1,6207043424,6207043421
6673027224,1.0,1,6673027224,6672985581
42977200,1.0,3,-1,-1
42955417,1.0,3,-1,-1
43024043,1.0,1,43024043,43019474
43019478,1.0,3,-1,-1
42953015,1.0,4,-1,-1
43015213,2.0,2,-1,-1
2907420912,1.0,1,2907420912,2907420908
11044551612,2.0,2,-1,-1
2545470506,3.0,1,2545470506,2545470495
5490610787,16.0,1,5490610787,5490610789
447757198,2.0,1,447757198,13185792210
447758100,1.0,1,447757671,447757789
447757669,1.0,1,447757671,447757789
447757789,1.0,1,447757789,11071790540
43001408,1.0,1,43001408,43001405
43013051,4.0,1,43013051,42978089
42964789,6.0,1,42964789,42964790
3572384479,1.0,1,3572384479,42946669
42971181,1.0,2,-1,-1
446515030,1.0,1,446515030,60650276
5490250655,1.0,1,5490250655,5490250660
7209782925,4.0,2,-1,-1
6444743727,5.0,2,-1,-1
10314016367,1.0,1,10314016367,10314016369
4942435985,1.0,2,-1,-1
42998601,3.0,2,-1,-1
446785805,2.0,1,446785805,446785603
12707925355,2.0,2,-1,-1
43026098,1.0,1,43026098,43002735
42996248,1.0,3,-1,-1
2551023497,2.0,4,-1,-1
42983579,1.0,1,42983579,42983577
42956580,1.0,1,42956580,42955448
8746778585,1.0,1,8746778585,8746778581
42998298,10.0,2,-1,-1
6955289143,3.0,1,6955289143,42978002
43017160,1.0,3,-1,-1
42948323,1.0,4,-1,-1
43015011,1.0,3,-1,-1
43015941,1.0,3,-1,-1
4205050916,2.0,3,-1,-1
4205050926,1.0,3,-1,-1
43005234,1.0,3,-1,-1
447757230,2.0,1,447757230,447758234
447757655,1.0,1,447757671,447757789
447758234,1.0,1,447757671,447757789
11071790553,4.0,1,11071790553,447757789
42959785,1.0,1,42959785,42959782
6902618225,19.0,2,-1,-1
7127841296,2.0,2,-1,-1
9728713840,25.0,2,-1,-1
5616440200,2.0,1,5616440200,446800584
42974039,5.0,1,42974039,3659115445
12685144546,18.0,2,-1,-1
42944230,2.0,1,42944230,60649942
5490136214,1.0,2,-1,-1
9927399192,2.0,2,-1,-1
9927989591,3.0,1,9927989591,9927989595
4264659409,1.0,1,4264659409,7373611480
7373611480,3.0,1,7373611480,43023923
43023914,2.0,2,-1,-1
6967296696,8.0,1,6967296696,6967296689
6967296689,2.0,2,-1,-1
43010291,10.0,2,-1,-1
8886832357,10.0,1,8886832357,8886832354
43011617,1.0,3,-1,-1
42975992,1.0,1,42975992,42975990
43014652,1.0,1,43014652,42992234
42967947,18.0,2,-1,-1
43010685,13.0,4,-1,-1
42979684,1.0,3,-1,-1
42979701,1.0,3,-1,-1
42979711,1.0,2,-1,-1
448122237,1.0,1,448122237,2895368587
42955327,1.0,4,-1,-1
43005221,1.0,3,-1,-1
42979758,1.0,3,-1,-1
10222809314,2.0,2,-1,-1
447760937,5.0,2,-1,-1
10203201640,9.0,1,10203201640,10203201638
447758931,2.0,2,-1,-1
4205378489,3.0,2,-1,-1
7662839774,1.0,1,7662839774,7662839773
42960298,1.0,4,-1,-1
5490109673,1.0,2,-1,-1
600524622,5.0,1,600524622,2897885181
2897887911,3.0,1,2897885192,3590113071
446799080,9.0,2,-1,-1
3655985184,12.0,1,3655985184,5449127663
9927399214,1.0,2,-1,-1
9851401679,9.0,2,-1,-1
9928082527,1.0,1,9928082521,9928082522
7373611466,2.0,1,7373611466,7373611480
524983105,2.0,1,524983105,43025895
43025895,1.0,2,-1,-1
13081610784,1.0,1,13081610784,13081610786
10691328473,1.0,1,10691328473,10691328475
1993276475,3.0,1,385638229,42986017
6776160464,1.0,1,6776160464,42967898
42967913,1.0,2,-1,-1
43018129,1.0,1,43018129,42967928
42992201,2.0,3,-1,-1
42970123,2.0,3,-1,-1
42974762,1.0,4,-1,-1
42976559,1.0,4,-1,-1
43022577,1.0,4,-1,-1
42956447,2.0,4,-1,-1
5610570662,7.0,3,-1,-1
42999125,1.0,2,-1,-1
4205352993,2.0,2,-1,-1
5490166635,1.0,1,5490166635,5490166668
6860726013,1.0,1,6860726013,6883383312
42960272,2.0,3,-1,-1
42968118,1.0,2,-1,-1
2897885135,1.0,3,-1,-1
2897885166,2.0,1,2897885166,2897885161
43017631,2.0,1,43017631,43017626
42973582,1.0,3,-1,-1
8386199078,1.0,2,-1,-1
5490138951,3.0,16777217,-1,-1
5490138159,2.0,1,5490138159,8886860809
446787155,5.0,1,446787155,5490133117
7686752421,7.0,1,7686752421,7686752420
42953428,1.0,1,42953428,42953430
43016197,22.0,1,43016197,42987459
5490131077,7.0,1,5490131077,5692098927
7429061922,3.0,1,7429061922,43025888
10691363610,24.0,1,10691363610,1993276469
42945525,4.0,1,42945525,42972716
42967879,1.0,2,-1,-1
42993227,3.0,3,-1,-1
42985317,1.0,3,-1,-1
42975985,1.0,3,-1,-1
42985727,1.0,3,-1,-1
42986693,48.0,1,42986693,42982825
43006759,20.0,3,-1,-1
7413126050,3.0,0,-1,-1
6653382591,2.0,1,6653382591,6663103720
42956434,10.0,4,-1,-1
4150439685,29.0,3,-1,-1
2854128501,1.0,2,-1,-1
3536417582,1.0,2,-1,-1
5369801213,10.0,3,-1,-1
447771413,29.0,2,-1,-1
3566563671,183.0,3,-1,-1
6169306548,57.0,1,6169306548,4407705650
5490166651,44.0,1,5490166651,5490166650
447759478,23.0,2,-1,-1
42968115,1.0,3,-1,-1
42990045,1.0,3,-1,-1
6905737841,2.0,1,6905737841,2543139404
42974293,2.0,3,-1,-1
42981649,1.0,3,-1,-1
43003116,3.0,2,-1,-1
43020978,4.0,3,-1,-1
5480581346,8.0,1,5480581346,5480581345
42974968,5.0,3,-1,-1
12434398905,24.0,1,12434398905,7266192231
42971120,4.0,3,-1,-1
