city,orientation,n,access,secs,w_unreach,w_spof,w_redund,w_spof_ci,med_kappa,mean_kappa,p90_kappa,max_kappa,frac_in_lscc,w_spof_lscc
Amsterdam,AD,409,26,23.9,0.0617,0.3664,0.5719,"[0.259,0.483]",2.0,3.995,3.0,50,0.917,0.3794
Amsterdam,DA,409,26,13.9,0.0224,0.3957,0.5819,"[0.286,0.510]",2.0,4.059,3.0,50,0.917,0.3699
