city,k_label,d,w,kappa
Amsterdam,1,7889568436,0.0027472527472527475,1
Amsterdam,1,1359387752,0.005494505494505495,1
Amsterdam,1,1359387759,0.01098901098901099,1
Amsterdam,1,46547509,0.005494505494505495,1
Amsterdam,1,1764586015,0.008241758241758242,2
Amsterdam,1,46410367,0.0027472527472527475,1
Amsterdam,1,46315539,0.0027472527472527475,1
Amsterdam,1,830007801,0.0027472527472527475,2
Amsterdam,1,4729918422,0.01098901098901099,1
Amsterdam,1,1224210135,0.0027472527472527475,2
Amsterdam,1,46276656,0.0027472527472527475,1
Amsterdam,1,46315759,0.0027472527472527475,2
Amsterdam,1,10775555727,0.07142857142857142,1
Amsterdam,1,10799514722,0.0027472527472527475,1
Amsterdam,1,46478508,0.008241758241758242,2
Amsterdam,1,1025242720,0.0027472527472527475,2
Amsterdam,1,46291576,0.04120879120879121,3
Amsterdam,1,46312105,0.04945054945054945,1
Amsterdam,1,1027384965,0.005494505494505495,1
Amsterdam,1,11029986849,0.0027472527472527475,1
Amsterdam,1,46472711,0.005494505494505495,2
Amsterdam,1,46254018,0.01098901098901099,2
Amsterdam,1,46296489,0.03571428571428571,3
Amsterdam,1,1625112157,0.027472527472527472,1
Amsterdam,1,46335125,0.02197802197802198,1
Amsterdam,1,46351114,0.024725274725274724,2
Amsterdam,1,46413366,0.013736263736263736,4
Amsterdam,1,46436216,0.005494505494505495,1
Amsterdam,1,46476375,0.03021978021978022,3
Amsterdam,1,46548744,0.0027472527472527475,2
Amsterdam,1,46292887,0.005494505494505495,1
Amsterdam,1,1991478008,0.2692307692307692,1
Amsterdam,1,504576044,0.008241758241758242,2
Amsterdam,1,2821156914,0.013736263736263736,1
Amsterdam,1,618378796,0.016483516483516484,3
Amsterdam,1,7883614520,0.005494505494505495,2
Amsterdam,1,46520014,0.0027472527472527475,2
Amsterdam,1,46548464,0.0027472527472527475,2
Amsterdam,1,748723148,0.054945054945054944,1
Amsterdam,1,46292054,0.0027472527472527475,2
Amsterdam,1,46310733,0.0521978021978022,3
Amsterdam,1,9476330484,0.005494505494505495,2
Amsterdam,1,2821156677,0.0027472527472527475,1
Amsterdam,1,46415227,0.008241758241758242,3
Amsterdam,1,10128214173,0.0027472527472527475,1
Amsterdam,1,7887074221,0.005494505494505495,1
Amsterdam,1,46233564,0.005494505494505495,2
Amsterdam,1,46273301,0.0027472527472527475,3
Amsterdam,1,4742151382,0.005494505494505495,1
Amsterdam,1,46332375,0.0027472527472527475,1
Amsterdam,1,4799100471,0.0027472527472527475,1
Amsterdam,1,7476552784,0.027472527472527472,4
Amsterdam,1,46433459,0.1620879120879121,3
Amsterdam,1,6459278056,0.0027472527472527475,2
Amsterdam,1,420241704,0.016483516483516484,2
Amsterdam,1,5274990069,0.0027472527472527475,1
Amsterdam,1,1596178397,0.005494505494505495,1
Amsterdam,1,46311892,0.1043956043956044,2
Amsterdam,1,46331939,0.03021978021978022,3
Amsterdam,1,2012191835,0.008241758241758242,1
Amsterdam,1,46366150,0.0027472527472527475,1
Amsterdam,1,1587421936,0.008241758241758242,2
Amsterdam,1,46434295,0.07417582417582418,2
Amsterdam,1,46471597,0.005494505494505495,2
Amsterdam,1,46489067,0.005494505494505495,1
Amsterdam,1,8116544761,0.0027472527472527475,2
Amsterdam,1,1575311685,0.005494505494505495,2
Amsterdam,1,4053664514,0.0027472527472527475,2
Amsterdam,1,46311221,0.013736263736263736,2
Amsterdam,1,330033173,0.01098901098901099,1
Amsterdam,1,2012191567,0.04120879120879121,3
Amsterdam,1,46366674,0.02197802197802198,1
Amsterdam,1,8340035244,0.016483516483516484,1
Amsterdam,1,46410025,0.008241758241758242,3
Amsterdam,1,46432455,0.09615384615384616,2
Amsterdam,1,6459263732,0.005494505494505495,3
Amsterdam,1,2028093778,0.038461538461538464,2
Amsterdam,1,1032858490,0.0027472527472527475,2
Amsterdam,1,8177207459,0.005494505494505495,1
Amsterdam,1,8163946870,0.0027472527472527475,1
Amsterdam,1,10693951339,0.02197802197802198,1
Amsterdam,1,303203391,0.013736263736263736,1
Amsterdam,1,46291715,0.03571428571428571,3
Amsterdam,1,46314364,0.019230769230769232,3
Amsterdam,1,46329410,0.0027472527472527475,3
Amsterdam,1,46348398,0.016483516483516484,1
Amsterdam,1,46367399,0.005494505494505495,2
Amsterdam,1,46390320,0.02197802197802198,2
Amsterdam,1,46410375,0.06043956043956044,2
Amsterdam,1,11431874081,0.0027472527472527475,1
Amsterdam,1,46473657,0.016483516483516484,1
Amsterdam,1,3037038658,0.0027472527472527475,1
Amsterdam,1,8307365174,0.013736263736263736,1
Amsterdam,1,46514542,0.0027472527472527475,2
Amsterdam,1,922662498,0.0027472527472527475,1
Amsterdam,1,10585373288,0.0027472527472527475,1
Amsterdam,1,46249143,0.008241758241758242,1
Amsterdam,1,46268854,0.005494505494505495,2
Amsterdam,1,46289604,0.12362637362637363,1
Amsterdam,1,46310386,0.013736263736263736,2
Amsterdam,1,2772719489,0.008241758241758242,1
Amsterdam,1,46371106,0.024725274725274724,1
Amsterdam,1,3300515578,0.07142857142857142,2
Amsterdam,1,46411017,0.16483516483516483,1
Amsterdam,1,46435511,0.04395604395604396,2
Amsterdam,1,1615543977,0.016483516483516484,2
Amsterdam,1,46468706,0.01098901098901099,3
Amsterdam,1,1718573622,0.016483516483516484,2
Amsterdam,1,8439295219,0.0027472527472527475,1
Amsterdam,1,46514806,0.0027472527472527475,2
Amsterdam,1,46173879,0.008241758241758242,2
Amsterdam,1,46188193,0.0027472527472527475,2
Amsterdam,1,46209547,0.01098901098901099,1
Amsterdam,1,46226051,0.005494505494505495,2
Amsterdam,1,46249918,0.013736263736263736,1
Amsterdam,1,280989731,0.06868131868131869,2
Amsterdam,1,46288279,0.12637362637362637,1
Amsterdam,1,46309533,0.08516483516483517,3
Amsterdam,1,46330371,0.10989010989010989,2
Amsterdam,1,46348429,0.08516483516483517,3
Amsterdam,1,46369747,0.027472527472527472,2
Amsterdam,1,46389668,0.17582417582417584,1
Amsterdam,1,940042043,0.06043956043956044,1
Amsterdam,1,46429656,0.13186813186813187,2
Amsterdam,1,1284046432,0.013736263736263736,2
Amsterdam,1,7886095726,0.005494505494505495,1
Amsterdam,1,7997216056,0.005494505494505495,1
Amsterdam,1,46187415,0.0027472527472527475,3
Amsterdam,1,46232048,0.013736263736263736,2
Amsterdam,1,6239303038,0.005494505494505495,1
Amsterdam,1,46269468,0.0521978021978022,3
Amsterdam,1,46289304,0.04945054945054945,1
Amsterdam,1,46308006,0.03021978021978022,1
Amsterdam,1,46328500,0.14835164835164835,1
Amsterdam,1,2311089467,0.38186813186813184,3
Amsterdam,1,46365716,0.21153846153846154,2
Amsterdam,1,1624052875,0.08516483516483517,4
Amsterdam,1,46410072,0.08516483516483517,3
Amsterdam,1,5911917067,0.016483516483516484,1
Amsterdam,1,46450028,0.04120879120879121,2
Amsterdam,1,7944358639,0.0027472527472527475,1
Amsterdam,1,46173882,0.0027472527472527475,1
Amsterdam,1,46187268,0.08791208791208792,1
Amsterdam,1,46203773,0.03571428571428571,2
Amsterdam,1,7093136772,0.09065934065934066,1
Amsterdam,1,3898433611,0.038461538461538464,1
Amsterdam,1,46270689,0.03296703296703297,3
Amsterdam,1,46287877,0.01098901098901099,3
Amsterdam,1,46307544,0.08791208791208792,4
Amsterdam,1,46322718,0.019230769230769232,2
Amsterdam,1,46346468,0.07142857142857142,2
Amsterdam,1,7042586056,0.5741758241758241,2
Amsterdam,1,2296170442,0.12637362637362637,1
Amsterdam,1,1891957960,0.11813186813186813,1
Amsterdam,1,4625767495,0.08241758241758242,3
Amsterdam,1,3306416557,0.10989010989010989,1
Amsterdam,1,46472779,0.005494505494505495,2
Amsterdam,1,7926245407,0.01098901098901099,2
Amsterdam,1,7920375542,0.008241758241758242,2
Amsterdam,1,8011011931,0.0027472527472527475,1
Amsterdam,1,46555663,0.005494505494505495,2
Amsterdam,1,2304048772,0.0027472527472527475,2
Amsterdam,1,46185495,0.024725274725274724,1
Amsterdam,1,46202403,0.260989010989011,2
Amsterdam,1,8792828688,0.046703296703296704,1
Amsterdam,1,46246148,0.04945054945054945,3
Amsterdam,1,1350096134,0.016483516483516484,1
Amsterdam,1,1976839543,0.17857142857142858,2
Amsterdam,1,46305900,0.04395604395604396,4
Amsterdam,1,6933008649,0.2664835164835165,3
Amsterdam,1,46346389,0.21703296703296704,2
Amsterdam,1,4628978320,0.15384615384615385,1
Amsterdam,1,46386984,0.23351648351648352,2
Amsterdam,1,26585460,0.21153846153846154,1
Amsterdam,1,46430099,0.11813186813186813,2
Amsterdam,1,46451017,0.07967032967032966,2
Amsterdam,1,46470161,0.0989010989010989,1
Amsterdam,1,5705913800,0.027472527472527472,1
Amsterdam,1,7916552429,0.008241758241758242,1
Amsterdam,1,1724068248,0.01098901098901099,3
Amsterdam,1,46173228,0.0027472527472527475,2
Amsterdam,1,46186730,0.03571428571428571,1
Amsterdam,1,46203826,0.008241758241758242,2
Amsterdam,1,401352873,0.005494505494505495,2
Amsterdam,1,295085734,0.0027472527472527475,1
Amsterdam,1,10894631392,0.0027472527472527475,1
Amsterdam,1,617025696,0.01098901098901099,1
Amsterdam,1,46307158,0.22527472527472528,3
Amsterdam,1,8745641794,0.06043956043956044,1
Amsterdam,1,1042870353,0.6071428571428571,1
Amsterdam,1,46363900,0.5192307692307693,2
Amsterdam,1,46389674,0.6923076923076923,3
Amsterdam,1,46405080,0.48626373626373626,3
Amsterdam,1,46428787,0.510989010989011,3
Amsterdam,1,46448859,0.2802197802197802,3
Amsterdam,1,46467741,0.024725274725274724,1
Amsterdam,1,7904736930,0.005494505494505495,1
Amsterdam,1,12713011080,0.01098901098901099,1
Amsterdam,1,46527401,0.01098901098901099,3
Amsterdam,1,46542758,0.03296703296703297,4
Amsterdam,1,46553708,0.008241758241758242,2
Amsterdam,1,6249848704,0.0027472527472527475,1
Amsterdam,1,2016695185,0.005494505494505495,1
Amsterdam,1,885659107,0.01098901098901099,2
Amsterdam,1,46248097,0.03021978021978022,1
Amsterdam,1,46268858,0.20054945054945056,2
Amsterdam,1,12987508333,0.1043956043956044,1
Amsterdam,1,5805453834,0.7252747252747253,2
Amsterdam,1,46325757,0.3626373626373626,3
Amsterdam,1,3416675263,0.23351648351648352,2
Amsterdam,1,8036446607,0.8296703296703297,2
Amsterdam,1,46383015,0.8763736263736264,1
Amsterdam,1,3175895405,1.0,1
Amsterdam,1,46427763,0.35714285714285715,2
Amsterdam,1,2102754850,0.019230769230769232,1
Amsterdam,1,7800918439,0.013736263736263736,2
Amsterdam,1,1499334820,0.019230769230769232,1
Amsterdam,1,46513195,0.04395604395604396,3
Amsterdam,1,46544791,0.005494505494505495,1
Amsterdam,1,46555017,0.03296703296703297,3
Amsterdam,1,10303268574,0.008241758241758242,1
Amsterdam,1,4541539713,0.005494505494505495,1
Amsterdam,1,12212407120,0.0027472527472527475,1
Amsterdam,1,11559496557,0.008241758241758242,3
Amsterdam,1,46268594,0.08516483516483517,4
Amsterdam,1,46285788,0.019230769230769232,2
Amsterdam,1,46306163,0.1813186813186813,1
Amsterdam,1,295693437,0.2692307692307692,4
Amsterdam,1,46345823,0.3708791208791209,3
Amsterdam,1,3188225066,0.2802197802197802,2
Amsterdam,1,442122363,0.521978021978022,1
Amsterdam,1,46404672,0.8626373626373627,1
Amsterdam,1,814763666,0.19230769230769232,2
Amsterdam,1,6796780752,0.03571428571428571,1
Amsterdam,1,8542668458,0.005494505494505495,1
Amsterdam,1,6066265670,0.03021978021978022,2
Amsterdam,1,46499694,0.016483516483516484,1
Amsterdam,1,6867794194,0.0027472527472527475,1
Amsterdam,1,810541337,0.005494505494505495,2
Amsterdam,1,4847860136,0.0027472527472527475,1
Amsterdam,1,456854630,0.024725274725274724,2
Amsterdam,1,46265190,0.18406593406593408,4
Amsterdam,1,460441709,0.12912087912087913,1
Amsterdam,1,12922375582,0.06318681318681318,1
Amsterdam,1,46326107,0.10164835164835165,1
Amsterdam,1,46345386,0.07692307692307693,2
Amsterdam,1,46361614,0.03021978021978022,1
Amsterdam,1,46385113,0.04395604395604396,2
Amsterdam,1,292241354,0.054945054945054944,2
Amsterdam,1,46431917,0.005494505494505495,1
Amsterdam,1,794301414,0.038461538461538464,1
Amsterdam,1,46467229,0.07142857142857142,1
Amsterdam,1,11962862993,0.03021978021978022,2
Amsterdam,1,12549240144,0.03296703296703297,1
Amsterdam,1,7552907634,0.0027472527472527475,2
Amsterdam,1,3167200102,0.005494505494505495,2
Amsterdam,1,2767260184,0.005494505494505495,1
Amsterdam,1,46563813,0.0027472527472527475,3
Amsterdam,1,46206669,0.005494505494505495,0
Amsterdam,1,2053253428,0.0027472527472527475,2
Amsterdam,1,636093337,0.01098901098901099,2
Amsterdam,1,8441540293,0.027472527472527472,1
Amsterdam,1,46304170,0.03571428571428571,3
Amsterdam,1,46325205,0.22802197802197802,1
Amsterdam,1,365875639,0.03571428571428571,1
Amsterdam,1,5896507775,0.07967032967032966,1
Amsterdam,1,46384590,0.0521978021978022,2
Amsterdam,1,46405687,0.03571428571428571,1
Amsterdam,1,46432836,0.01098901098901099,1
Amsterdam,1,46446857,0.04120879120879121,1
Amsterdam,1,46468710,0.054945054945054944,3
Amsterdam,1,46485066,0.046703296703296704,1
Amsterdam,1,46498380,0.024725274725274724,4
Amsterdam,1,46526413,0.06868131868131869,1
Amsterdam,1,46210174,0.0027472527472527475,2
Amsterdam,1,2882580890,0.02197802197802198,2
Amsterdam,1,46244938,0.02197802197802198,1
Amsterdam,1,46266650,0.013736263736263736,1
Amsterdam,1,12072406522,0.04395604395604396,1
Amsterdam,1,46304102,0.054945054945054944,2
Amsterdam,1,46325460,0.09065934065934066,2
Amsterdam,1,4743959148,0.07692307692307693,1
Amsterdam,1,11224390095,0.04945054945054945,1
Amsterdam,1,2262683375,0.03571428571428571,1
Amsterdam,1,46404755,0.008241758241758242,2
