city,orientation,k,d,w,kappa,outdeg,cut_first,cut_hops
Amsterdam,AD,1,46410375,0.06043956043956044,2,2,-1,-1
Amsterdam,AD,1,11431874081,0.0027472527472527475,1,1,-1,-1
Amsterdam,AD,1,46473657,0.016483516483516484,1,1,-1,-1
Amsterdam,AD,1,3037038658,0.0027472527472527475,1,1,-1,-1
Amsterdam,AD,1,8307365174,0.013736263736263736,1,1,-1,-1
Amsterdam,AD,1,46514542,0.0027472527472527475,2,2,-1,-1
Amsterdam,AD,1,922662498,0.0027472527472527475,1,2,-1,-1
Amsterdam,AD,1,10585373288,0.0027472527472527475,1,1,-1,-1
Amsterdam,AD,1,46249143,0.008241758241758242,1,3,-1,-1
Amsterdam,AD,1,46268854,0.005494505494505495,2,3,-1,-1
Amsterdam,AD,1,46289604,0.12362637362637363,2,1,-1,-1
Amsterdam,AD,1,46310386,0.013736263736263736,2,2,-1,-1
Amsterdam,AD,1,2772719489,0.008241758241758242,1,1,-1,-1
Amsterdam,AD,1,46371106,0.024725274725274724,2,1,-1,-1
Amsterdam,AD,1,3300515578,0.07142857142857142,2,2,-1,-1
Amsterdam,AD,1,46411017,0.16483516483516483,1,2,-1,-1
Amsterdam,AD,1,46435511,0.04395604395604396,3,2,-1,-1
Amsterdam,AD,1,1615543977,0.016483516483516484,2,2,-1,-1
Amsterdam,AD,1,46468706,0.01098901098901099,3,3,-1,-1
Amsterdam,AD,1,1718573622,0.016483516483516484,2,2,-1,-1
Amsterdam,AD,1,8439295219,0.0027472527472527475,1,1,-1,-1
Amsterdam,AD,1,46514806,0.0027472527472527475,1,2,-1,-1
Amsterdam,AD,1,46173879,0.008241758241758242,2,3,-1,-1
Amsterdam,AD,1,46188193,0.0027472527472527475,2,2,-1,-1
Amsterdam,AD,1,46209547,0.01098901098901099,1,3,-1,-1
Amsterdam,AD,1,46226051,0.005494505494505495,2,3,-1,-1
Amsterdam,AD,1,46249918,0.013736263736263736,1,2,-1,-1
Amsterdam,AD,1,280989731,0.06868131868131869,4,2,-1,-1
Amsterdam,AD,1,46288279,0.12637362637362637,1,2,-1,-1
Amsterdam,AD,1,46309533,0.08516483516483517,2,3,-1,-1
Amsterdam,AD,1,46330371,0.10989010989010989,2,2,-1,-1
Amsterdam,AD,1,46348429,0.08516483516483517,3,3,-1,-1
Amsterdam,AD,1,46369747,0.027472527472527472,3,2,-1,-1
Amsterdam,AD,1,46389668,0.17582417582417584,2,2,-1,-1
Amsterdam,AD,1,940042043,0.06043956043956044,1,1,-1,-1
Amsterdam,AD,1,46429656,0.13186813186813187,2,2,-1,-1
Amsterdam,AD,1,1284046432,0.013736263736263736,2,2,-1,-1
