expH,rpe_prime,Li_div,Deng_pm,config,city,d,kappa,D
1.0,1.0,0.9677422295363687,15.0,multi,Amsterdam,46520014,2,2
1.0,1.0,0.9558113527467392,15.0,single,Amsterdam,46548464,2,2
1.0,1.0,0.9568087637716718,15.0,multi,Amsterdam,46548464,2,2
1.0,1.0,0.9322260855264666,15.0,single,Amsterdam,748723148,1,1
1.0,1.0,0.9538532774972355,15.0,multi,Amsterdam,748723148,3,3
1.0000000000000078,1.0000000000000004,0.9365821818853601,15.0,single,Amsterdam,46292054,2,2
1.6016615126069396,1.3771038219041476,0.9658370705487451,15.0,multi,Amsterdam,46292054,3,3
1.0112408841248866,1.0026611185443923,0.9779606691124806,15.0,single,Amsterdam,46310733,3,3
1.0115807359481441,1.0028132724461207,0.9806193118608714,15.0,multi,Amsterdam,46310733,4,4
1.000000003965153,1.0000000003282996,0.9778904115681752,15.0,single,Amsterdam,9476330484,2,2
1.000000003965153,1.000000000337419,0.9804866514338818,15.0,multi,Amsterdam,9476330484,4,4
1.0,1.0,0.9689576877371147,15.0,single,Amsterdam,2821156677,1,1
1.0,1.0,0.9813316923965251,15.0,multi,Amsterdam,2821156677,2,2
1.0,1.0,0.984010828037866,15.0,single,Amsterdam,46415227,3,3
1.0,1.0,0.9876867650118825,15.0,multi,Amsterdam,46415227,4,4
1.0,1.0,0.951979361556803,15.0,single,Amsterdam,10128214173,1,1
1.0,1.0,0.9557009818546135,15.0,multi,Amsterdam,10128214173,1,1
1.000000024389531,1.000000000799741,0.8042788488035342,15.0,single,Amsterdam,7887074221,1,1
1.000000024389531,1.0000000008167567,0.8285935492281545,15.0,multi,Amsterdam,7887074221,1,1
1.0000000905314768,1.000000003836859,0.9295351654715646,15.0,single,Amsterdam,46233564,2,2
1.0000000905314768,1.000000003836859,0.933551873587499,15.0,multi,Amsterdam,46233564,2,2
2.000000000482471,1.0000000000163256,0.958570353509366,15.0,single,Amsterdam,46273301,3,3
1.0008330080280077,1.0001000360394998,0.964858369225754,15.0,multi,Amsterdam,46273301,4,4
1.0,1.0,0.9465018362238912,15.0,single,Amsterdam,4742151382,1,1
1.0,1.0,0.9605706052364678,15.0,multi,Amsterdam,4742151382,3,2
1.0002154997027233,1.0000343875214959,0.9546657131643395,15.0,single,Amsterdam,46332375,1,1
1.000215495165714,1.0000361506960878,0.9762024594409335,15.0,multi,Amsterdam,46332375,3,3
1.0120410280976457,1.0030974724331219,0.962328164204085,15.0,single,Amsterdam,4799100471,1,1
1.0120410280976457,1.0030974724331219,0.9631658986300435,15.0,multi,Amsterdam,4799100471,2,2
1.0,1.0,0.9899105821815751,15.0,single,Amsterdam,7476552784,4,4
1.0,1.0,0.9922817929076455,15.0,multi,Amsterdam,7476552784,6,6
1.000000001470521,1.0000000001198575,0.9808327034288363,15.0,single,Amsterdam,46433459,3,3
1.0000000000034173,1.000000000000239,0.9819594881819345,15.0,multi,Amsterdam,46433459,3,3
1.0,1.0,0.964781290076984,15.0,single,Amsterdam,6459278056,2,2
1.0,1.0,0.9821249970960223,15.0,multi,Amsterdam,6459278056,3,3
1.0000000905335273,1.0000000046710438,0.9134180217408758,15.0,single,Amsterdam,420241704,2,2
1.000000090531852,1.000000004670975,0.9139265483092754,15.0,multi,Amsterdam,420241704,2,2
15.0,1.000000000000003,0.0,15.0,single,Amsterdam,5274990069,1,1
8.590906808632402,8.231938946302428,0.8476190476190476,15.0,multi,Amsterdam,5274990069,50,9
1.0044039055596305,1.0004391457397077,0.8433869901451919,15.0,single,Amsterdam,1596178397,1,1
1.000084125304454,1.0000061894808283,0.859558281470054,15.0,multi,Amsterdam,1596178397,1,1
1.0000000000000004,1.0,0.9682197032541094,15.0,single,Amsterdam,46311892,2,2
1.0000000014852086,1.000000000100921,0.97433832100388,15.0,multi,Amsterdam,46311892,4,4
1.003248175283232,1.000632487670155,0.9787004460831955,15.0,single,Amsterdam,46331939,3,3
1.003248175283232,1.000632487670155,0.9795046035776603,15.0,multi,Amsterdam,46331939,3,3
1.0,1.0,0.9316095668014392,15.0,single,Amsterdam,2012191835,1,1
1.0,1.0,0.9824007421323847,15.0,multi,Amsterdam,2012191835,3,3
1.7981000285716044,1.6370255558190592,0.9587064553409564,15.0,single,Amsterdam,46366150,1,1
