city,d,kappa,L1,h1,Bstar2,Bstar3,colocated,reachable
Amsterdam,7889568436,1,487.1753614015785,-1,inf,inf,False,True
Amsterdam,1359387752,1,498.23085068881943,-1,inf,inf,False,True
Amsterdam,1359387759,1,510.6778311847653,-1,inf,inf,False,True
Amsterdam,46547509,1,565.363892170383,-1,inf,inf,False,True
Amsterdam,1764586015,2,145.92540573514992,-1,428.7102798426815,inf,False,True
Amsterdam,46410367,2,302.3259165199453,-1,564.9470447194795,inf,False,True
Amsterdam,46315539,2,94.55647551802849,-1,153.90815958618794,inf,False,True
Amsterdam,830007801,3,235.42942510928364,-1,601.6163395328207,652.9862052126928,False,True
Amsterdam,4729918422,1,403.0580177137445,-1,inf,inf,False,True
Amsterdam,1224210135,2,364.2866779102669,-1,496.45548362596764,inf,False,True
Amsterdam,46276656,2,122.20032116023978,-1,280.33754017416385,inf,False,True
Amsterdam,46315759,2,84.84312182007994,-1,117.57015743059934,inf,False,True
Amsterdam,10775555727,4,25.803693211387124,-1,54.10387934490347,198.8851949719868,False,True
Amsterdam,10799514722,1,404.3772994499705,-1,inf,inf,False,True
Amsterdam,46478508,2,387.34262188842115,-1,515.4184298482626,inf,False,True
Amsterdam,1025242720,2,137.33770991959608,-1,262.1966395388896,inf,False,True
Amsterdam,46291576,4,17.895596988464256,-1,164.75188840778728,232.9596641168993,False,True
Amsterdam,46312105,2,88.5320319265585,-1,123.31139118751923,inf,False,True
Amsterdam,1027384965,3,56.58204639079173,-1,127.71587590246477,168.99138549493247,False,True
Amsterdam,11029986849,2,408.00772510633,-1,435.08622647095865,inf,False,True
Amsterdam,46472711,2,347.6519748986227,-1,476.33116944054854,inf,False,True
Amsterdam,46254018,2,173.73464457434713,-1,267.5228757823378,inf,False,True
Amsterdam,46296489,5,52.956902681937365,-1,146.745133889928,235.8227437404018,False,True
Amsterdam,1625112157,2,141.79780218667102,-1,170.74842503134167,inf,False,True
Amsterdam,46335125,1,165.61004230188507,-1,inf,inf,False,True
Amsterdam,46351114,2,129.6189526279475,-1,222.3053137951298,inf,False,True
Amsterdam,46413366,5,288.32268564261057,-1,409.9033101715078,414.2210113717481,False,True
Amsterdam,46436216,4,332.3759417545167,-1,361.1435884766242,411.77553640357314,False,True
Amsterdam,46476375,3,318.2198487102173,-1,457.9815885877339,460.299560703134,False,True
Amsterdam,46548744,2,434.870025905411,-1,577.0662125864058,inf,False,True
Amsterdam,46292887,4,114.61290873595864,-1,182.88346730297786,208.4011399439493,False,True
Amsterdam,1991478008,3,208.80038987497784,-1,221.5684387440373,236.849960556522,False,True
Amsterdam,504576044,2,169.8185318109901,-1,230.51287513136896,inf,False,True
Amsterdam,2821156914,6,293.04412902056157,-1,333.9449055812446,396.97125363526686,False,True
Amsterdam,618378796,3,266.4375279626919,-1,406.19926784020845,429.5371040811712,False,True
Amsterdam,7883614520,2,263.1522578315157,-1,634.4382937365783,inf,False,True
